ΚΩΔΙΚΟΣ HEBIC;ΟΝΟΜΑΣΙΑ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΕΛΛΗΝΙΚΑ);ΟΝΟΜΑΣΙΑ ΤΟΠΟΘΕΣΙΑΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΕΛΛΗΝΙΚΑ);Διεύθυνση ΕΛΛΗΝΙΚΑ;ΑΡΙΘΜΟΣ ΤΗΛΕΦΩΝΟΥ;ΤΑΧΥΔΡΟΜΙΚΗ ΠΕΡΙΟΧΗ (ΕΛΛΗΝΙΚΑ);ΔΗΜΟΣ/ ΚΟΙΝΟΤΗΤΑ;ΓΡΑΦΕΙΟ ΤΑΧΥΔΡΟΜΙΚΟΥ ΚΩΔΙΚΑ;ΔΙΑΔΡΟΜΗ ΤΑΧΥΔΡΟΜΙΚΟΥ ΚΩΔΙΚΑ;ΕΠΙΣΗΜΗ ΟΝΟΜΑΣΙΑ ΤΗΣ ΤΡΑΠΕΖΑΣ (ΕΛΛΗΝΙΚΑ);ΕΠΙΣΗΜΗ ΟΝΟΜΑΣΙΑ ΤΗΣ ΤΡΑΠΕΖΑΣ (ΑΓΓΛΙΚΑ);ΟΝΟΜΑΣΙΑ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΑΓΓΛΙΚΑ);ΟΝΟΜΑΣΙΑ ΠΕΡΙΟΧΗΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΕΛΛΗΝΙΚΑ);ΟΝΟΜΑΣΙΑ ΠΕΡΙΟΧΗΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΑΓΓΛΙΚΑ);ΟΝΟΜΑΣΙΑ ΤΟΠΟΘΕΣΙΑΣ ΚΑΤΑΣΤΗΜΑΤΟΣ (ΑΓΓΛΙΚΑ);Διεύθυνση ΑΓΓΛΙΚΑ;ΤΑΧΥΔΡΟΜΙΚΗ ΠΕΡΙΟΧΗ (ΑΓΓΛΙΚΑ);ΑΡΙΘΜΟΣ FAX;ΔΗΜΟΣ/ ΚΟΙΝΟΤΗΤΑ_1;ΝΟΜΟΣ
100013;Κ. Κ/ΜΑ ΤΜΗΜΑ ΑΓΟΡΑΠΩΛΗΣΙΑΣ ΣΥΝΑΛΛΑΓΜΑΤΟΣ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202895;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE FOREIGN EXCHANGE TRANSACTIONS SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103236746;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100014;Κ. Κ/ΜΑ ΤΜΗΜΑ ΕΠΟΠΤΕΙΑΣ ΣΥΣΤΗΜΙΚΩΝ ΠΙΣΤΩΤΙΚΩΝ ΙΔΡΥΜΑΤΩΝ Β΄;Αθήνα Κέντρο;Αμερικής 3;2103205041;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE SYSTEMIC CREDIT INSTITUTIONS SUPERVISION SECTION B;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;3, Amerikis;ATHENS;;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100015;Κ. Κ/ΜΑ ΤΜΗΜΑ ΕΠΙΒΛΕΨΗΣ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΩΜΩΝ;Αθήνα Κέντρο;Αμερικής 3;2103205073;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE PAYMENT SYSTEMS OVERSIGHT SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;3, Amerikis;ATHENS;;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100016;Κ. Κ/ΜΑ ΤΜΗΜΑ ΕΠΙΘΕΩΡΗΣΗΣ ΕΡΓΩΝ ΤΟΥ ΕΣΚΤ;Χαλάνδρι;Μεσογείων 341;2106799748;ΧΑΛΑΝΔΡΙ;ΧΑΛΑΝΔΡΙΟΥ;152;31;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE ESCB PROJECTS AUDIT SECTION;ΧΑΛΑΝΔΡΙ;CHALANDRI;Chalandri;341, Mesogeion Ave.;CHALANDRI;2106799713;ΧΑΛΑΝΔΡΙΟΥ;ΑΤΤΙΚΗΣ
100017;Κ. Κ/ΜΑ ΤΜΗΜΑ ΕΝΕΓΓΥΩΝ ΠΙΣΤΩΣΕΩΝ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103203002;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE DOCUMENTARY CREDITS SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103233872;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100018;Κ. Κ/ΜΑ ΤΜΗΜΑ ΛΕΙΤΟΥΡΓΙΩΝ ΚΕΝΤΡΟΥ ΠΛΗΡΟΦΟΡΙΚΗΣ;Χαλάνδρι;Μεσογείων 341;2106799551;ΧΑΛΑΝΔΡΙ;ΧΑΛΑΝΔΡΙΟΥ;152;31;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE IT CENTRE OPERATIONS SECTION;ΧΑΛΑΝΔΡΙ;CHALANDRI;Chalandri;341, Mesogeion Ave.;CHALANDRI;;ΧΑΛΑΝΔΡΙΟΥ;ΑΤΤΙΚΗΣ
100023;Κ. Κ/ΜΑ ΤΜΗΜΑ ΣΧΕΣΕΩΝ ΜΕ ΤΟ ΔΗΜΟΣΙΟ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202703;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE GOVERNMENT ACCOUNTS SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103232721;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100024;Κ. Κ/ΜΑ ΤΜΗΜΑ ΔΗΜΟΣΙΩΝ ΟΡΓΑΝΙΣΜΩΝ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103203376;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE PUBLIC ENTITIES' ACCOUNTS SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103202266;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100027;Κ. Κ/ΜΑ ΤΜΗΜΑ ΘΕΜΑΤΟΦΥΛΑΞΗΣ ΤΙΤΛΩΝ ΤΟΥ ΕΛΛΗΝΙΚΟΥ ΔΗΜΟΣΙΟΥ ΚΑΙ ΥΠΟΣΤΗΡΙΞΗΣ ΤΗΣ ΕΠΙΤΡΟΠΗΣ Ν.3586/2007;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202715;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE GREEK GOVERNMENT SECURITIES CUSTODY AND LAW 3586/2007 COMMITTEE SUPPORT, SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103253807;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100029;Κ. Κ/ΜΑ ΤΜΗΜΑ ΚΑΤΑΡΤΙΣΗΣ ΟΙΚΟΝΟΜΙΚΩΝ ΚΑΤΑΣΤΑΣΕΩΝ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202556;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE FINANCIAL REPORTING SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103236286;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100030;Κ. Κ/ΜΑ ΤΜΗΜΑ ΛΟΓΙΣΤΙΚΟΥ ΕΛΕΓΧΟΥ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202561;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE ACCOUNTING CONTROL SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103223479;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100031;Κ. Κ/ΜΑ ΤΜΗΜΑ ΔΙΑΧΕΙΡΙΣΗΣ ΔΙΑΘΕΣΙΜΩΝ ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202876;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE RESERVES MANAGEMENT SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103255500;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100032;Κ. Κ/ΜΑ ΤΜΗΜΑ ΟΙΚΟΝΟΜΙΚΩΝ ΥΠΗΡΕΣΙΩΝ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202573;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE STAFF-RELATED FINANCIAL OPERATIONS SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103255504;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100033;Κ. Κ/ΜΑ ΤΜΗΜΑ ΔΙΟΙΚΗΤΙΚΗΣ ΥΠΟΣΤΗΡΙΞΗΣ, ΔΙΕΚΠΕΡΑΙΩΣΗΣ ΔΑΝΕΙΩΝ Ε.Δ. ΚΑΙ ΘΕΜΑΤΩΝ Δ.Ν.Τ.;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202584;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE ADMINISTRATIVE SUPPORT, HELLENIC REPUBLIV LOANS PROCESING AND IMF-RELATED ISSUES SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103241012;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100034;Κ. Κ/ΜΑ ΤΜΗΜΑ ΔΙΑΧΕΙΡΙΣΗΣ ΔΙΑΘΕΣΙΜΩΝ ΝΟΜΙΚΩΝ ΠΡΟΣΩΠΩΝ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103203361;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE LEGAL ENTITIES' RESERVES MANAGEMENT SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103235862;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100035;Κ. Κ/ΜΑ ΤΜΗΜΑ ΔΙΚΤΥΩΝ;Χαλάνδρι;Μεσογείων 341;2106799448;ΧΑΛΑΝΔΡΙ;ΧΑΛΑΝΔΡΙΟΥ;152;31;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE NETWORKS SECTION;ΧΑΛΑΝΔΡΙ;CHALANDRI;Chalandri;341, Mesogeion Ave.;CHALANDRI;2106799658;ΧΑΛΑΝΔΡΙΟΥ;ΑΤΤΙΚΗΣ
100038;Κ. Κ/ΜΑ ΤΜΗΜΑ ΔΙΟΙΚΗΤΙΚΗΣ ΥΠΟΣΤΗΡΙΞΗΣ;Χαλάνδρι;Μεσογείων 341;2106799410;ΧΑΛΑΝΔΡΙ;ΧΑΛΑΝΔΡΙΟΥ;152;31;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE ADMINISTRATIVE SUPPORT SECTION;ΧΑΛΑΝΔΡΙ;CHALANDRI;Chalandri;341, Mesogeion Ave.;CHALANDRI;2106536915;ΧΑΛΑΝΔΡΙΟΥ;ΑΤΤΙΚΗΣ
100040;Κ. Κ/ΜΑ ΤΜΗΜΑ ΕΣΩΤΕΡΙΚΟΥ ΕΛΕΓΧΟΥ ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202937;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE INTERNAL AUDIT SECTION ;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103220140;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100043;Κ. Κ/ΜΑ ΤΜΗΜΑ ΔΙΑΧΕΙΡΙΣΗΣ ΣΥΣΤΗΜΑΤΩΝ ΠΛΗΡΩΜΩΝ;Χαλάνδρι;Μεσογείων 341;2106799770;ΧΑΛΑΝΔΡΙ;ΧΑΛΑΝΔΡΙΟΥ;152;31;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE PAYMENT SYSTEMS MANAGEMENT SECTION;ΧΑΛΑΝΔΡΙ;CHALANDRI;Chalandri;341, Mesogeion Ave.;CHALANDRI;2106778347;ΧΑΛΑΝΔΡΙΟΥ;ΑΤΤΙΚΗΣ
100044;Κ. Κ/ΜΑ ΤΜΗΜΑ ΗΛΕΚΤΡΟΝΙΚΗΣ ΔΕΥΤΕΡΟΓΕΝΟΥΣ ΑΓΟΡΑΣ ΤΙΤΛΩΝ (ΗΔΑΤ);Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103203359;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE ELECTRONIC SECONDARY SECURITIES MARKET SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103242689;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100045;Κ. Κ/ΜΑ ΓΡΑΦΕΙΟ ΣΥΜΨΗΦΙΣΜΟΥ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103202807;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE ATHENS CLEARING OFFICE;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103231603;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100046;Κ. Κ/ΜΑ ΤΜΗΜΑ TEXNΙΚΩΝ ΜΕΛΕΤΩΝ ΚΑΙ ΕΠΙΒΛΕΨΕΩΝ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103203030;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE TECHNICAL PROJECT DESIGN AND SUPERVISION SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;2103233026;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
100047;Κ. Κ/ΜΑ ΤΜΗΜΑ ΣΥΝΤΗΡΗΣΗΣ ΗΛΕΚΤΡΟΜΗΧΑΝΟΛΟΓΙΚΩΝ ΕΓΚΑΤΑΣΤΑΣΕΩΝ;Αθήνα Κέντρο;Ελ. Βενιζέλου 21;2103203396;ΑΘΗΝΑ;ΑΘΗΝΑΙΩΝ;102;50;ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.;BANK OF GREECE;HEAD OFFICE ELECTROMECHANICAL MAINTENANCE SECTION;ΑΘΗΝΑ ΚΕΝΤΡΟ;ATHENS CENTRE;Athens Centre;21, El. Venizelou Ave.;ATHENS;...........;ΑΘΗΝΑΙΩΝ;ΑΤΤΙΚΗΣ
